Línea seleccionada;Orden;Clase de orden;Fecha de inicio extrema;Alerta;Texto breve;Alerta Com;Tipo de orden;Moneda;Autor;Fecha entrada;Modificado por;Fecha modific.maestro orden;Existe texto explic.;Sociedad;Centro;División;Sociedad CO;CeCo responsable;Petición de borrado;Esquema cálc.coste;Clave de recargo;Indicador ABC;Campo de clasificación;Prioridad;Equipo;Conjunto;Estado instalación;Centro planificación;Grupo planificación;Pto.tbjo.responsable;Ctro.pto.trab.;Cliente;Disponible hst.fecha;Disponible dsd fecha;Disponible hst.hora;Disponible dsd hora;Centro de coste;Centro emplazamiento;Emplazamiento;Local;Área de empresa;Ubicación técnica;Activo fijo;Subnúmero;Revisión;Plan mant.preventivo;Posición mantenim.;Status del sistema;Status de usuario;Puesto de trabajo;Fecha fin extrema;Fin programado;Inicio programado;Fecha inicio real;Fecha real de fin de la orden;Fe.liberación real;Clase actividad PM;Aviso;Histórico desde;Denominación de objeto técnico;Denominación de la ubicación técnica;Lista;Teléfono;Código postal;Población;Distrito;Clave de país;Departamento;Calle;Costes tot.reales;Suma de costes plan;Tot.costes facturac.;Ingresos tot. real;Ingr. totales plan;Total general (real);Tota general (plan);Nº objeto;Documento de ventas;Posición;Orden principal;Orden superior;Fin real (hora);Hora inicio real;Hora de fin progr.;Hora de inicio prog.;Grupo hojas ruta;Cont.grupo HRuta;Ind.planif.orden;Fecha de referencia;Elemento PEP;Subgrafo;Operación superior;Tot. Avisos;Organización ventas;Canal distribución;Sector;Hora de fin extrema;Hora inicio extrema;Hora de referencia;Criterio p.cálculo;Nº dirección;Material;Número de serie;Dat.adic.disposit.;Oficina de ventas;Grupo de vendedores;Texto breve de material;Denominación del conjunto;Status paging;Cabecera orden PEP;Reserva/Sol.pedido;Clase prioridad;Texto para prioridad;Nº de pedido;Fecha de pedido;Producto de servicio;Denominación producto servicio;Cantidad;Unidad medida base;Forma de facturación;Gr.planif.mantenimiento HRuta;Centro de beneficio;Elemento refer.PM/PS;Organización ventas - Comercial;Canal distribución - Comercial;Sector - Comercial;Indicador ABC;Nro Moc;Revision 2;Revision 3;Fecha;Proyecto
;20000242;PM15;1/1/2010;;OT DE INACTIVIDAD PINTURA;;30;UYU;JMORENO;8/1/2010;JSIMO;4/1/2021;;ANC1;C002;10;ANC1;103411;;PP-PC1;;;;4;;;;C002;CME;PINTURA;C002;;;;0:00:00;0:00:00;103411;C002;;;;AN-SGENER-MANEDI-PINTUR;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;31/12/2010;30/11/2020;13/1/2010;13/1/2010;;8/1/2010;MAN;;;;Taller de Pintura;;;;;;;;;5204205,78;0;0;0;0;5204205,78;0;OR000020000242;;0;;;0:00:00;0:00:00;7:00:00;0:00:00;;;;4/1/2021;;;;0;;;;0:00:00;0:00:00;14:52:37;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20000244;PM15;1/1/2010;;OT DE INACTIVIDAD ALBAÑILERIA;;30;UYU;JMORENO;8/1/2010;MSABATIN;4/1/2021;;ANC1;C002;10;ANC1;103411;;PP-PC1;;;;4;;;;C002;CME;ALBANILE;C002;;;;0:00:00;0:00:00;103411;C002;;;;AN-SGENER-MANEDI-ALBANI;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;31/12/2010;23/11/2020;11/1/2010;11/1/2010;;8/1/2010;MAN;;;;Taller de Albañileria;;;;;;;;;7025963,74;0;0;0;0;7025963,74;0;OR000020000244;;0;;;0:00:00;0:00:00;7:00:00;0:00:00;;;;4/1/2021;;;;0;;;;0:00:00;0:00:00;15:33:12;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20000245;PM15;1/1/2010;;OT DE INACTIVIDAD SANITARIA;;30;UYU;JMORENO;8/1/2010;JSIMO;4/1/2021;;ANC1;C002;10;ANC1;103411;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;SANITARI;C002;;;;0:00:00;0:00:00;103411;C002;;;;AN-SGENER-MANEDI-SANITA;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;31/12/2010;23/11/2020;4/1/2010;4/1/2010;;8/1/2010;MAN;;;;Taller de Sanitaria;;;;;;;;;2857703,86;0;0;0;0;2857703,86;0;OR000020000245;;0;;;0:00:00;0:00:00;7:00:00;0:00:00;;;;4/1/2021;;;;0;;;;0:00:00;0:00:00;14:53:24;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20000246;PM15;4/1/2010;;ORDEN DE ACTIVIDAD TALLER CARPINTERIA;;30;UYU;LHERNANDEZ;8/1/2010;MSABATIN;4/1/2021;S;ANC1;C002;10;ANC1;103411;;PP-PC1;;;;;;;;C002;CME;CARPINTE;C002;;;;0:00:00;0:00:00;103411;C002;;;;AN-SGENER-MANEDI-CARPIN;;;;;;CTEC NOTP IMPP MOVM NLIQ PREC;FINA;;;16/11/2017;25/1/2010;1/1/2010;;8/1/2010;MAN;;;;Taller de Carpinteria;;;;;;;;;9747198,09;0;0;0;0;9747198,09;0;OR000020000246;;0;;;0:00:00;0:00:00;7:00:00;0:00:00;;;;4/1/2021;;;;0;;;;0:00:00;0:00:00;15:35:09;;;;;;;;;;;;3;ME;;;;;;0;;;;;;;;;;;;;;
;20000247;PM15;1/1/2010;;OT DE INACTIVIDAD CARPINTERIA;;30;UYU;JMORENO;8/1/2010;MSABATIN;4/1/2021;S;ANC1;C002;10;ANC1;103411;;PP-PC1;;;;4;;;;C002;CME;CARPINTE;C002;;;;0:00:00;0:00:00;103411;C002;;;;AN-SGENER-MANEDI-CARPIN;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;31/12/2010;23/11/2020;4/1/2010;4/1/2010;;8/1/2010;MAN;;;;Taller de Carpinteria;;;;;;;;;10605186,02;0;0;0;0;10605186,02;0;OR000020000247;;0;;;0:00:00;0:00:00;7:00:00;0:00:00;;;;4/1/2021;;;;0;;;;0:00:00;0:00:00;15:35:40;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20000249;PM15;1/1/2010;;OT DE INACTIVIDAD ELECTRICIDAD;;30;UYU;JMORENO;8/1/2010;JSIMO;4/1/2021;;ANC1;C002;10;ANC1;103411;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;ELECTRIC;C002;;;;0:00:00;0:00:00;103411;C002;;;;AN-SGENER-MANEDI-ELECTR;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;31/12/2010;23/11/2020;4/1/2010;4/1/2010;;8/1/2010;MAN;;;;Taller de Electricidad;;;;;;;;;2461723,87;0;0;0;0;2461723,87;0;OR000020000249;;0;;;0:00:00;0:00:00;7:00:00;0:00:00;;;;4/1/2021;;;;0;;;;0:00:00;0:00:00;14:54:41;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20000250;PM15;4/1/2010;;OT DE ACTIVIDAD DE TALLER ALBAÑILERIA;;30;UYU;LHERNANDEZ;8/1/2010;MSABATIN;4/1/2021;;ANC1;C002;10;ANC1;103411;;PP-PC1;;;;;;;;C002;CME;ALBANILE;C002;;;;0:00:00;0:00:00;103411;C002;;;;AN-SGENER-MANEDI-ALBANI;;;;;;CTEC NOTP KKMP MOVM NLIQ PREC;FINA;;;6/12/2018;15/2/2010;4/1/2010;;8/1/2010;MAN;;;;Taller de Albañileria;;;;;;;;;4658394,23;0;0;0;0;4658394,23;0;OR000020000250;;0;;;0:00:00;0:00:00;0:00:00;0:00:00;;;;4/1/2021;;;;0;;;;0:00:00;0:00:00;15:33:44;;;;;;;;;;;;3;ME;;;;;;0;;;;;;;;;;;;;;
;20000251;PM15;1/1/2010;;OT DE INACTIVIDAD A.ACONDICIONADO;;30;UYU;JMORENO;8/1/2010;MSABATIN;4/1/2021;;ANC1;C002;10;ANC1;103411;;PP-PC1;;;;4;;;;C002;CME;AIREACON;C002;;;;0:00:00;0:00:00;103411;C002;;;;AN-SGENER-MANEDI-AIRACO;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;31/12/2010;23/11/2020;9/1/2010;9/1/2010;;8/1/2010;MAN;;;;Taller de Aire Acondicionado;;;;;;;;;7866522,64;0;0;0;0;7866522,64;0;OR000020000251;;0;;;0:00:00;0:00:00;7:00:00;0:00:00;;;;4/1/2021;;;;0;;;;0:00:00;0:00:00;15:32:13;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20000252;PM15;1/1/2010;;OT DE INACTIVIDAD PROFESIONALES;;30;UYU;JMORENO;8/1/2010;MSABATIN;4/1/2021;;ANC1;C002;10;ANC1;103412;;PP-PC1;;;;4;;;;C002;CME;PMA;C002;;;;0:00:00;0:00:00;103412;C002;;;;AN-MANEDI;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;31/12/2010;23/11/2020;1/1/2010;1/1/2010;;8/1/2010;MAN;;;;Mantenimiento Edilicio;;;;;;;;;6195233,06;0;0;0;0;6195233,06;0;OR000020000252;;0;;;0:00:00;0:00:00;7:00:00;0:00:00;;;;4/1/2021;;;;0;;;;0:00:00;0:00:00;15:34:14;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20000254;PM15;1/1/2010;;OT DE INACTIVIDAD METALURGIA;;30;UYU;JMORENO;8/1/2010;JSIMO;4/1/2021;;ANC1;C002;10;ANC1;103411;;PP-PC1;;;;4;;;;C002;CME;METALURG;C002;;;;0:00:00;0:00:00;103411;C002;;;;AN-SGENER-MANEDI-METALU;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;31/12/2010;26/11/2020;25/1/2010;25/1/2010;;8/1/2010;MAN;;;;Taller de Metalurgia;;;;;;;;;506099,8;0;0;0;0;506099,8;0;OR000020000254;;0;;;0:00:00;0:00:00;0:00:00;0:00:00;;;;4/1/2021;;;;0;;;;0:00:00;0:00:00;14:55:14;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
